DEPTH,VP,VS,RHO_OLD,GR,NPHI,RHO,SWE,SWX,VPVS,IP,IS,VSH,RHOm,RHOf,PHIE,LFC,K0,RHO_FLUID,K_FLUID,VP_FRMB,VS_FRMB,RHO_FRMB,LFC_B,VP_FRMO,VS_FRMO,RHO_FRMO,LFC_O,VP_FRMG,VS_FRMG,RHO_FRMG,LFC_G,IP_FRMB,IP_FRMO,IP_FRMG,VPVS_FRMB,VPVS_FRMO,VPVS_FRMG,QC_RATIO
2160.7759,2544.5,1301.4,2.1936,53.1718,0.3138,2.1955180000000034,0.3907458962573837,0.8272764281024299,1.9552020900568616,5586.495551000009,2857.247125200004,0.0544914520654246,2.6587186323304683,0.9011312278397888,0.2635434409389687,2,34.375002308445794,0.9011312278397889,1.2695272825154416,2775.0454401864445,1286.8940118150415,2.2452931261010236,1,2496.1934975812906,1310.9657725558104,2.1635946594099433,2,2371.0361284840965,1355.4484127734258,2.0239166357122897,3,6230.790451468613,5400.7509202207075,4798.779464313825,2.1563900482157865,1.9040874672988632,1.7492632741607956,1.0906053999553722
2160.9285,2512.5,1182.1,2.1981,55.3625,0.3127,2.186600000000032,0.3546358267717224,0.8341712598425021,2.1254546992640218,5493.8325000000805,2584.779860000037,0.0793450724438731,2.66269521159102,0.8899371062992341,0.2685618585918836,2,33.26738108142639,0.889937106299234,1.2296897016743957,2731.227907344229,1167.8389704572107,2.24032926256758,1,2474.8397219306944,1190.1624877105387,2.157075086404096,2,2367.553950555842,1231.486557664957,2.0147373013503977,3,6118.849803564492,5338.415107019942,4769.999257144351,2.338702489329457,2.079413313295927,1.9225170878397588,1.0870558835200912
2161.0808,2532.8,1178.9,2.1575,56.8222,0.3212,2.138607999999939,0.3145528562048464,0.8301831910702269,2.1484434642463315,5416.666342399845,2521.204971199928,0.095905454817736,2.665344872770837,0.8775113854235024,0.2946230040429743,2,32.42861444133081,0.8775113854235024,1.1882984991828274,2729.409766988479,1162.0146997917761,2.2012120339513963,1,2507.9012164272303,1186.899088944728,2.109878902698074,2,2435.592445108045,1233.4184256500455,1.9537287105552978,3,6008.0096246795165,5291.36786659065,4758.4868872191655,2.3488599304962046,2.1129860489294043,1.9746684454015844,1.077625460750347
2161.2332,2568.7000000000007,1194.7,2.1104,55.2263,0.3315,2.10103599999995,0.3004364351244946,0.7972319790301129,2.1500795178705956,5396.931173199873,2510.1077091999405,0.077799875431254,2.6624479800690004,0.8731352948885933,0.3137584530187613,2,33.115354241400425,0.8731352948885933,1.1743770398147233,2752.678577939677,1175.8120653400408,2.169079134390075,1,2549.18951503931,1203.0958464354787,2.071814013954259,2,2497.979909339511,1254.4941000310907,1.9055220338543153,3,5970.777667091497,5281.446561483704,4759.955757371843,2.3410872018425937,2.118858212828201,1.9912249163049889,1.0716232249541309
2161.3855,2568.2,1192.1999999999996,2.0833,56.408,0.3435,2.0770150000000167,0.2927677165354353,0.7805354330708706,2.1541687636302638,5334.189923000043,2476.2172830000195,0.0912063314504317,2.6645930130320687,0.870757992125985,0.3275540984450513,2,32.4384618851251,0.870757992125985,1.1669501035129561,2742.702940973465,1172.1091178011143,2.1488286182304726,1,2551.842655879869,1200.8246263256747,2.0472868477125066,2,2514.0615052088983,1255.2229046262435,1.8736831755366294,3,5893.598570868664,5224.353906814608,4710.554744574207,2.3399723620602804,2.125075219091806,2.0028805210158973,1.0679475667679563
2161.5381,2529.0,1224.2,2.0686,54.8634,0.3495,2.068237999999995,0.2876795797767556,0.7671549573210681,2.065838915209933,5230.573901999987,2531.9369595999938,0.0736827535819187,2.661789240573107,0.8691806697307943,0.3311103440134805,2,33.21508640281442,0.8691806697307943,1.1620740112942192,2721.338713290807,1203.1186012730925,2.141353564410258,1,2510.086871300858,1233.033777076204,2.0387093577660793,2,2458.0020987417083,1289.794323049703,1.8632208754389346,3,5827.348353672895,5117.33759332684,4579.800822248264,2.2619039473009512,2.035700009169927,1.9057318324442551,1.0760532674143166
2161.6904,2510.7,1224.2,2.067,56.9496,0.3488,2.069259999999998,0.2857183191070265,0.7596408404464867,2.0508903773893152,5195.291081999995,2533.1880919999976,0.0973508153126528,2.6655761304500243,0.8685726789231782,0.3318391681125369,2,32.14003977303002,0.8685726789231782,1.1602053481058596,2702.440693843113,1203.0269170690128,2.142738258023518,1,2491.9593893483607,1232.988033326931,2.039868115908632,2,2439.415974327956,1289.8455996268763,1.8639933568089873,3,5790.6230647372595,5083.268504470865,4547.055170641033,2.24636760449815,2.0210734589405455,1.8912464988318176,1.0763694164349038
2161.8428,2537.9,1304.2,2.0722,55.3731,0.3407,2.0792759999999584,0.2849226736566111,0.7619613368283056,1.9459438736390124,5276.994560399895,2711.791759199946,0.0794653300674691,2.662714452810795,0.8683260288335495,0.3251461305783786,2,32.980252069889744,0.8683260288335495,1.159448980101785,2739.391574559205,1282.1666757817954,2.151352433974673,1,2517.4082442554586,1313.3011637613652,2.0505571334953756,2,2455.375177343195,1372.2268608658849,1.8782296842888349,3,5893.396731537657,5162.089433178099,4611.758544151951,2.136533124984607,1.9168552604076479,1.7893361858503745,1.0793930314666476
2161.9951,2545.100000000001,1338.4,2.0892,53.1181,0.3215,2.0937550000000047,0.2902755905511836,0.7694212598425305,1.9015989240884643,5328.815850500014,2802.281692000007,0.0538822224062643,2.6586211555850023,0.8699854330708671,0.3158083831575345,2,34.218139007554925,0.869985433070867,1.1645567327024864,2759.4881293501257,1316.7300979391941,2.1632374446529994,1,2521.3404487663875,1347.5764484227511,2.065336845874164,2,2445.1209508637885,1405.7416541107516,1.8979584028006704,3,5969.428049485651,5207.417329830119,4640.737854555892,2.0957128067999533,1.8710184878323224,1.7393814458820533,1.084235640780372
2162.1477,2552.5,1314.0,2.0993,55.17100000000001,0.3068,2.0999540000000025,0.2926795797767566,0.7854858831254072,1.9425418569254185,5360.132585000007,2759.3395560000035,0.0771724936779659,2.6623475989884744,0.8707306697307946,0.3139028158332308,2,33.142935414833985,0.8707306697307946,1.1668652915445479,2756.754384715576,1292.9811091257773,2.168783260197373,1,2530.092131245176,1323.0022320395385,2.071473387289071,2,2461.267425292454,1379.5606858853046,1.905104894897459,3,5978.80276204685,5241.01851726387,4688.97261957632,2.13209177246178,1.9123868954814909,1.7840950749571314,1.0800213064507644
