DEPTH,DT,DTS,GR,RHO,VP,VS,VPVS,IP_ORIGINAL,IS,VSH,RHOm,RHOf,PHIE,SWE,LFC,K0,RHO_FLUID,K_FLUID,IP,VP_FRMB,VS_FRMB,RHO_FRMB,LFC_B,VP_FRMO,VS_FRMO,RHO_FRMO,LFC_O,VP_FRMG,VS_FRMG,RHO_FRMG,LFC_G,IP_FRMB,IP_FRMO,IP_FRMG,VPVS_FRMB,VPVS_FRMO,VPVS_FRMG,QC_RATIO
2101.5959,124.709,320.836,105.899,2.272,2444.08984115,950.018077772,2.5726771925034573,5552.97211909,2158.4410727,0.747350333356,2.76957605334,1.09,0.296250980924,1.0,4,15.000020685669934,1.09,2.8,5552.9721190928,2444.08984115,950.018077772,2.272,4,2444.08984115,950.018077772,2.272,4,2444.08984115,950.018077772,2.272,4,5552.9721190928,5552.9721190928,5552.9721190928,2.5726771925034573,2.5726771925034573,2.5726771925034573,1.0
2101.7485,124.585,316.601,105.451,2.28,2446.52245455,962.725954751,2.5412449331780715,5578.07119637,2195.01517683,0.74119183449,2.76859069352,1.09,0.291071966147,1.0,4,15.000020857545186,1.09,2.8,5578.071196374,2446.52245455,962.725954751,2.28,4,2446.52245455,962.725954751,2.28,4,2446.52245455,962.725954751,2.28,4,5578.071196374,5578.071196374,5578.071196374,2.5412449331780715,2.5412449331780715,2.5412449331780715,1.0
2101.9009,124.484,313.456,107.638,2.281,2448.50743871,972.385278955,2.5180424793569007,5585.04546769,2218.0108213,0.771255756409,2.77340092103,1.09,0.292503654284,1.0,4,15.000020044508872,1.09,2.8,5585.04546769751,2448.50743871,972.385278955,2.281,4,2448.50743871,972.385278955,2.281,4,2448.50743871,972.385278955,2.281,4,5585.04546769751,5585.04546769751,5585.04546769751,2.5180424793569007,2.5180424793569007,2.5180424793569007,1.0
2102.0532,124.288,312.563,109.365,2.273,2452.36869207,975.163407057,2.5148284629251423,5574.23403708,2216.54642424,0.794996219671,2.77719939515,1.09,0.298838060633,1.0,4,15.000019445933157,1.09,2.8,5574.234037075111,2452.36869207,975.163407057,2.273,4,2452.36869207,975.163407057,2.273,4,2452.36869207,975.163407057,2.273,4,5574.234037075111,5574.234037075111,5574.234037075111,2.5148284629251423,2.5148284629251423,2.5148284629251423,1.0
2102.2056,124.166,312.571,106.911,2.263,2454.77828069,975.138448544,2.5173638516205386,5555.1632492,2206.73830906,0.761261942402,2.77180191078,1.09,0.302533792786,1.0,4,15.000020307652035,1.09,2.8,5555.16324920147,2454.77828069,975.138448544,2.263,4,2454.77828069,975.138448544,2.263,4,2454.77828069,975.138448544,2.263,4,5555.16324920147,5555.16324920147,5555.16324920147,2.5173638516205386,2.5173638516205386,2.5173638516205386,1.0
2102.3579,124.163,312.285,97.71,2.26,2454.83759252,976.031509679,2.515121251902363,5547.93295909,2205.83121187,0.634779022613,2.75156464362,1.09,0.295844429229,1.0,4,16.55047556452246,1.09,2.8,5547.932959095199,2454.83759252,976.031509679,2.26,4,2454.83759252,976.031509679,2.26,4,2454.83759252,976.031509679,2.26,4,5547.932959095199,5547.932959095199,5547.932959095199,2.515121251902363,2.515121251902363,2.515121251902363,1.0
2102.5105,124.178,311.934,89.672,2.265,2454.54106202,977.129777453,2.511990851837553,5559.53550548,2213.19894593,0.524283455908,2.73388535295,1.09,0.285229959684,1.0,4,19.34373553285572,1.09,2.8,5559.5355054753,2454.54106202,977.129777453,2.265,4,2454.54106202,977.129777453,2.265,4,2454.54106202,977.129777453,2.265,4,5559.5355054753,5559.5355054753,5559.5355054753,2.511990851837553,2.511990851837553,2.511990851837553,1.0
2102.6628,124.135,309.875,88.904,2.27,2455.39130785,983.622428399,2.4962742175842156,5573.73826882,2232.82291246,0.51372602928,2.73219616468,1.09,0.281450032965,1.0,4,19.66616770234529,1.09,2.8,5573.7382688195,2455.39130785,983.622428399,2.27,4,2455.39130785,983.622428399,2.27,4,2455.39130785,983.622428399,2.27,4,5573.7382688195,5573.7382688195,5573.7382688195,2.4962742175842156,2.4962742175842156,2.4962742175842156,1.0
2102.8152,124.013,309.183,94.381,2.27,2457.80684283,985.823929517,2.4931499117029867,5579.22153323,2237.82032,0.589016427246,2.74424262836,1.09,0.286682630606,1.0,4,17.78375128318926,1.09,2.8,5579.221533224099,2457.80684283,985.823929517,2.27,4,2457.80684283,985.823929517,2.27,4,2457.80684283,985.823929517,2.27,4,5579.221533224099,5579.221533224099,5579.221533224099,2.4931499117029867,2.4931499117029867,2.4931499117029867,1.0
2102.9675,123.8,309.255,104.814,2.27,2462.0355412,985.594412378,2.4980210016204394,5588.82067851,2237.2993161,0.732435218915,2.76718963503,1.09,0.296442110447,1.0,4,15.000021106906894,1.09,2.8,5588.820678524,2462.0355412,985.594412378,2.27,4,2462.0355412,985.594412378,2.27,4,2462.0355412,985.594412378,2.27,4,5588.820678524,5588.820678524,5588.820678524,2.4980210016204394,2.4980210016204394,2.4980210016204394,1.0
