DEPTH,VP,RHO,GR,IP_ORIGINAL,VSH,RHOm,RHOf,PHIE,VS,SWE,LFC,K0,RHO_FLUID,K_FLUID,IP,VPVS,VP_FRMB,VS_FRMB,RHO_FRMB,LFC_B,VP_FRMO,VS_FRMO,RHO_FRMO,LFC_O,VP_FRMG,VS_FRMG,RHO_FRMG,LFC_G,IP_FRMB,IP_FRMO,IP_FRMG,VPVS_FRMB,VPVS_FRMO,VPVS_FRMG,QC_RATIO
2001.06079,2249.45,2.2199,87.2339,4993.554055,0.248675597424,2.68978809559,1.09,0.293718959957,864.0291705,1.0,4,26.826932266090807,1.09,2.8,4993.554055,2.6034421947794644,2249.45,864.0291705,2.2199,4,2249.45,864.0291705,2.2199,4,2249.45,864.0291705,2.2199,4,4993.554055,4993.554055,4993.554055,2.6034421947794644,2.6034421947794644,2.6034421947794644,1.0
2001.21326,2197.55,2.2257,90.5105,4891.087035,0.277319409185,2.69437110547,1.09,0.29212138256,824.0822595000001,1.0,4,25.93976756552434,1.09,2.8,4891.087035,2.6666634000024847,2197.55,824.0822595000001,2.2257,4,2197.55,824.0822595000001,2.2257,4,2197.55,824.0822595000001,2.2257,4,4891.087035,4891.087035,4891.087035,2.6666634000024847,2.6666634000024847,2.6666634000024847,1.0
2001.3656,2234.6,2.232,96.5985,4987.6272,0.330540286316,2.70288644581,1.09,0.29195263376,852.599274,1.0,4,24.346084293895693,1.09,2.8,4987.6272,2.6209264635146754,2234.6,852.599274,2.232,4,2234.6,852.599274,2.232,4,2234.6,852.599274,2.232,4,4987.6272,4987.6272,4987.6272,2.6209264635146754,2.6209264635146754,2.6209264635146754,1.0
2001.51794,2228.07,2.2754,97.8013,5069.750478,0.34105508116,2.70456881299,1.09,0.265810171443,847.5731983000002,1.0,4,24.393437676974486,1.09,2.8,5069.750478,2.6287641049397252,2228.07,847.5731983000002,2.2754,4,2228.07,847.5731983000002,2.2754,4,2228.07,847.5731983000002,2.2754,4,5069.750478,5069.750478,5069.750478,2.6287641049397252,2.6287641049397252,2.6287641049397252,1.0
2001.67041,2191.23,2.3607,101.0224,5172.836661,0.36921371574,2.70907419452,1.09,0.215168764778,819.2178187,1.0,4,24.272103578785064,1.09,2.8,5172.836661,2.674783128469078,2191.23,819.2178187,2.3607,4,2191.23,819.2178187,2.3607,4,2191.23,819.2178187,2.3607,4,5172.836661,5172.836661,5172.836661,2.674783128469078,2.674783128469078,2.674783128469078,1.0
2001.82275,2192.81,2.4068,98.5658,5277.655108,0.347738287561,2.70563812601,1.09,0.18496600272,820.4339289000001,1.0,4,25.186084820560787,1.09,2.8,5277.655108,2.6727441695884253,2192.81,820.4339289000001,2.4068,4,2192.81,820.4339289000001,2.4068,4,2192.81,820.4339289000001,2.4068,4,5277.655108,5277.655108,5277.655108,2.6727441695884253,2.6727441695884253,2.6727441695884253,1.0
2001.97522,2183.38,2.3197,97.211,5064.786586,0.335894719174,2.70374315507,1.09,0.237982825124,813.1757522000001,1.0,4,24.887177149845606,1.09,2.8,5064.786586,2.685003818784551,2183.38,813.1757522000001,2.3197,4,2183.38,813.1757522000001,2.3197,4,2183.38,813.1757522000001,2.3197,4,5064.786586,5064.786586,5064.786586,2.685003818784551,2.685003818784551,2.685003818784551,1.0
2002.12756,2191.23,2.2109,96.4521,4844.590407,0.329260467588,2.70268167481,1.09,0.304946526332,819.2178187,1.0,4,24.204898736885898,1.09,2.8,4844.590407000001,2.674783128469078,2191.23,819.2178187,2.2109,4,2191.23,819.2178187,2.2109,4,2191.23,819.2178187,2.2109,4,4844.590407000001,4844.590407000001,4844.590407000001,2.674783128469078,2.674783128469078,2.674783128469078,1.0
2002.28003,2218.34,2.1595,96.3343,4790.50523,0.328230668093,2.70251690689,1.09,0.336751140142,840.0841146000001,1.0,4,23.775774336525615,1.09,2.8,4790.505230000001,2.640616530472364,2218.34,840.0841146000001,2.1595,4,2218.34,840.0841146000001,2.1595,4,2218.34,840.0841146000001,2.1595,4,4790.505230000001,4790.505230000001,4790.505230000001,2.640616530472364,2.640616530472364,2.640616530472364,1.0
2002.43237,2252.77,2.1212,95.8995,4778.575724,0.324429676409,2.70190874823,1.09,0.360261552563,866.5845413000001,1.0,4,23.53066905958244,1.09,2.8,4778.575724,2.5995963378489586,2252.77,866.5845413000001,2.1212,4,2252.77,866.5845413000001,2.1212,4,2252.77,866.5845413000001,2.1212,4,4778.575724,4778.575724,4778.575724,2.5995963378489586,2.5995963378489586,2.5995963378489586,1.0
2002.58484,2272.93,2.1144,94.9817,4805.883192,0.316406331956,2.70062501311,1.09,0.363973617906,882.1014916999998,1.0,4,23.723732349223017,1.09,2.8,4805.883191999999,2.5767216373476183,2272.93,882.1014916999998,2.1144,4,2272.93,882.1014916999998,2.1144,4,2272.93,882.1014916999998,2.1144,4,4805.883191999999,4805.883191999999,4805.883191999999,2.5767216373476183,2.5767216373476183,2.5767216373476183,1.0
