DEPTH,VP,VS,RHO_OLD,GR,NPHI,RHO,SWE,SWX,VPVS,IP,IS,VSH,RHOm,RHOf,PHIE,LFC,IS_SAND,IS_SHALE,K_MINERAL,RHO_FLUID,K_FLUID,VP_FRM_BRINE,VS_FRM_BRINE,RHO_FRM_BRINE,KDRY_FRM_BRINE,LFC_BRINE,VP_FRM_OIL,VS_FRM_OIL,RHO_FRM_OIL,KDRY_FRM_OIL,LFC_OIL,VP_FRM_GAS,VS_FRM_GAS,RHO_FRM_GAS,KDRY_FRM_GAS,LFC_GAS,IP_FRM_BRINE,VPVS_FRM_BRINE,IP_FRM_OIL,VPVS_FRM_OIL,IP_FRM_GAS,VPVS_FRM_GAS,KDRY_MU_RATIO
2156.6611,2660.8,1327.3,2.1576,56.1563,0.3097,2.157083500000004,0.6874823066841474,1.0,2.0046711368944474,5739.567776800011,2863.0969295500045,0.0883507801429704,2.6641361248228748,0.9931195150720856,0.3034396078794769,2,True,False,32.703030939068,0.9931195150720857,1.7301186935363,2792.207044575064,1318.346987665739,2.186480876357704,6.942551725609909,1,2572.520791528924,1347.6549231658557,2.092414597915066,6.942551725609909,2,2506.1381263548656,1402.6357959567524,1.9315916057389433,6.942551725609909,3,6105.107305794641,2.117960651253838,5382.780057635141,1.9088868725279193,4840.835367689381,1.7867347557926845,1.8268966462785927
2156.8137,2680.7,1309.4,2.1552,54.4995,0.3132,2.1540410000000008,0.6761549573210681,1.0,2.0472735604093475,5774.337708700002,2820.501285400001,0.0695542866737535,2.6611286858678005,0.9896080367695312,0.303369082602334,2,True,False,33.53866274728331,0.9896080367695312,1.70648488573289,2811.9820666826276,1300.240265670157,2.1844968177858752,7.388286796582284,1,2598.6550036820927,1329.165859295446,2.0904524021791517,7.388286796582284,2,2538.2620927329613,1383.4330865335473,1.9296667883999148,7.388286796582284,3,6142.765876339149,2.1626634253118624,5432.364594882103,1.9551021307901844,4898.00006060126,1.8347559541842793,2.000530176881841
2156.9661,2627.9,1401.2,2.1483,55.0432,0.3189,2.1460169999999983,0.6660748031495966,1.0,1.8754638880959178,5639.5180742999955,3006.9990203999987,0.0757225951595172,2.662115615225523,0.986483188976375,0.3080022844752388,2,True,False,33.23783339553623,0.986483188976375,1.685989712186227,2778.6406163685206,1390.905738392009,2.1779004142768663,5.754163238227459,1,2533.2694567746194,1422.4354759542596,2.082419706089542,5.754163238227459,2,2448.400102723398,1481.6957094866423,1.9191784953176658,5.754163238227459,3,6051.602549515528,1.9977202909385052,5275.330237622217,1.7809380457662884,4698.9168250803095,1.652431121347909,1.3656794135551216
2157.1184,2629.8,1400.0,2.1417,55.7592,0.3172,2.140528000000004,0.6603978988837832,1.0,1.8784285714285716,5629.160534400012,2996.739200000006,0.0838456572816558,2.663415305165065,0.9847233486539728,0.3114849649079174,2,True,False,32.85694266788422,0.9847233486539728,1.6746625567498106,2778.5717952333016,1389.3979205595874,2.1733200940501445,5.859548164841377,1,2540.1193855205947,1421.3314397559643,2.0767597549286902,5.859548164841377,2,2461.5351067146976,1481.431996620204,1.911672723527494,5.859548164841377,3,6038.725915341518,1.9998387460621914,5275.217712563365,1.7871407853728478,4705.649521511827,1.6615916979858263,1.3966485793342516
2157.2708,2609.100000000001,1400.0,2.1336,57.6885,0.3246,2.1308140000000058,0.6537955439056481,1.0,1.8636428571428578,5559.506807400016,2983.139600000008,0.1057336792819939,2.6669173886851185,0.9826766186107512,0.3183056711431116,2,True,False,31.865305729416846,0.982676618610751,1.6616788015196413,2757.659981024094,1388.910622076525,2.1649756409424588,5.68025198382089,1,2523.088535970806,1421.6871100004944,2.066300882888094,5.68025198382089,2,2448.423834656249,1483.537740697318,1.897598877182245,5.68025198382089,3,5970.266684919007,1.9854841176901554,5213.460069481305,1.7747143645200023,4646.126319509945,1.6503953809125196,1.3600848064858713
2157.4231,2623.3,1270.7,2.1255,56.7729,0.3229,2.124769000000001,0.6457244094488164,1.0,2.064452663886047,5573.906517700003,2699.943968300001,0.0953461434174267,2.665255382946788,0.9801745669291332,0.3207480482889339,2,True,False,32.297494020480826,0.9801745669291332,1.6460775651462343,2758.1277390583064,1260.2957979454104,2.1599952933099686,7.146600882331801,1,2552.7097797388005,1290.3451686077117,2.060563398340399,7.146600882331801,2,2501.9161460655682,1347.1093853385323,1.890566932747264,7.146600882331801,3,5957.542934713607,2.1884765017504044,5260.020338715354,1.9783154475582576,4730.039934258038,1.8572479512766735,2.0830598460201646
2157.5757,2590.8,1196.9,2.1235,55.7864,0.3214,2.1198365000000035,0.6365915955351326,1.0,2.16459186231097,5492.072404200009,2537.2323068500045,0.0841542428818264,2.663464678861092,0.9773433946158911,0.322413449103957,2,True,False,32.78320996800534,0.9773433946158911,1.6287737161605729,2728.7761510800283,1186.7758712343198,2.1561585047062373,7.334559734879666,1,2521.4085400273616,1215.2770064147132,2.056210335484011,7.334559734879666,2,2469.2783557657335,1269.1566265093938,1.8853312074589135,7.334559734879666,3,5883.673905590756,2.2993188665370603,5184.546299981911,2.074760344117735,4655.407544027971,1.9456056913614175,2.415215851031477
2157.728,2555.0,1199.7,2.1132,57.4722,0.3202,2.111319999999991,0.6194753775443124,0.9900669730794258,2.1296990914395266,5394.422599999977,2532.9506039999897,0.1032797430571076,2.6665247588891368,0.9720373670387372,0.3276535202087611,2,True,False,31.908673024196766,0.972037367038737,1.5973046840267082,2698.5180027935016,1188.8673541472006,2.149970871942843,6.939979070034906,1,2487.9458160460244,1217.9865384634522,2.048398280678127,6.939979070034906,2,2433.6584897143207,1273.1481550350138,1.8747419149674838,6.939979070034906,3,5801.7351034194035,2.26982261173216,5096.3039320090165,2.0426710291763044,4562.4815773839,1.9115281124900902,2.2838037477245385
2157.8804,2531.6,1229.3,2.1073,59.1026,0.3215,2.110617999999996,0.6136022280471861,0.9715635648754976,2.0593833889205237,5343.24052879999,2594.5827073999944,0.1217767269732177,2.6694842763157145,0.9702166906946278,0.3288865632727597,2,True,False,31.11540936729657,0.9702166906946278,1.5867849694117346,2680.3773375829574,1217.9855762398788,2.150013120934878,6.444755013517319,1,2462.6522419208864,1247.9337904874421,2.0480582863203223,6.444755013517319,2,2402.115412164243,1304.6891838961374,1.8737484077857598,6.444755013517319,3,5762.846444859853,2.2006642688312628,5043.655330391391,1.9733837329294337,4500.959928860385,1.841139975569437,2.0206030870929226
2158.0327,2451.0,1229.3,2.1159,59.5576,0.3283,2.116,0.617,0.984334645669306,1.9938176197836168,5186.316,2601.1988,0.1269387287407779,2.6703101965985243,0.97127,0.3262490185389682,2,True,False,30.922231550070215,0.9712700000000001,1.592853944008037,2618.1382608322274,1218.200364850444,2.154735545971132,5.3548203506519645,1,2366.4499611062934,1247.8372902945341,2.0535983502240516,5.3548203506519645,2,2276.166745153749,1303.9397497586717,1.8806863703983985,5.3548203506519645,3,5641.395574882239,2.149185254228397,4859.737736015655,1.8964411301955295,4280.755774364741,1.7456072993978544,1.6746092223929814
